ID,Name,Category,Subcollection,Collection_Line,Era,Status,Price,Material,Main_Image,Hover_Image,Extra_Views,Type,Color,Fit,Weight,Season,Technique,Motif,Story
plo-66,Amber Dance,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-66-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-67,Bubble Garden,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-67-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-68,Olive Circles,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-68-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-69,Crimson Bloom,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-69-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-70,Citrus Burst,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-70-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-71,Pomegranate Red,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-71-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-72,Golden Fruit,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-72-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-73,Amber Column,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-73-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-74,Rainbow Flow,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-74-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-75,Winter Branches,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-75-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-76,Red Currents,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-76-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-77,Confetti Garden,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-77-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-78,Tulip Field,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-78-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-79,Aqua Splash,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-79-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-80,Blue Splash,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-80-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-81,Sunbeam,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-81-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-82,Pink Whisper,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-82-view-1.jpg,,,Pillow,,,,,Hand-painted,,
plo-83,Tulip Garden,pillows,,pillows,,available,ENTER PRICE HERE,Hand-painted,images/plo/plo-83-view-1.jpg,,,Pillow,,,,,Hand-painted,,
